true_intent,predicted_intent,count_for_pair,confidence,row_number,text
reminders.add,Default Fallback Intent,82,0.4223947126343176,868,schedule physical therapy appointment tomorrow morning 8:40 a.m.
reminders.add,Default Fallback Intent,82,0.39978888557415004,878,remember to watch
reminders.add,Default Fallback Intent,82,0.5526933880591195,879,remember to wash the car in 4 hours
reminders.add,Default Fallback Intent,82,0.6692323554033996,882,remember to wake up at 7 a.m.
reminders.add,Default Fallback Intent,82,0.6599655458189311,883,remember to wake up at 6 a.m.
reminders.add,Default Fallback Intent,82,0.5956487381526719,885,remember to turn the lights on at 8 p.m.
reminders.add,Default Fallback Intent,82,0.2686305768779065,893,don't let me forget
reminders.add,Default Fallback Intent,82,0.7866715359828772,930,remind me to get groceries every month on the 15th at 1 p.m.
reminders.add,Default Fallback Intent,82,0.38230381680903097,944,remind me at 7 p.m. on november 11 to do homework
reminders.add,Default Fallback Intent,82,0.675903972034039,952,remind me at 1 p.m. that i have to eat
Default Fallback Intent,Cmd.VolumeIncrease,64,0.22186335213879574,1938,i hear the voice
Default Fallback Intent,Cmd.VolumeIncrease,64,0.36473154035911526,1939,so where is brewster
Default Fallback Intent,Cmd.VolumeIncrease,64,0.7414656807181044,1956,i'm up
Default Fallback Intent,Cmd.VolumeIncrease,64,0.7709964921911542,1972,as far as far as cleaning up over there i went pretty
Default Fallback Intent,Cmd.VolumeIncrease,64,0.5557513088504629,1982,so she had it up when i come home
Default Fallback Intent,Cmd.VolumeIncrease,64,0.32703155707304327,2015,i wish i could wake up
Default Fallback Intent,Cmd.VolumeIncrease,64,0.5504900568846011,2017,these keeps doing this
Default Fallback Intent,Cmd.VolumeIncrease,64,0.2628212192415571,2044,i'm walking and they didn't working
Default Fallback Intent,Cmd.VolumeIncrease,64,0.34851307516601876,2052,more like this is
Default Fallback Intent,Cmd.VolumeIncrease,64,0.24991990896553942,2069,tuesday
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.34632810147135584,1843,what are stock options
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.6505202339481181,1853,where can i get my hearing checked
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.36941836026416414,1887,how do i get to swimsuits
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3920146546072262,1923,to us number one hits
